"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-18","93","105","78"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-19","89","104","75"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-20","88","104","72"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-21","89","104","74"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-22","93","108","78"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-23","94","107","81"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-24","89","102","74"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-25","86","101","70"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-26","88","105","73"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-27","88","103","71"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-28","85","100","70"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-29","86","102","71"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-30","86","103","69"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-31","88","104","71"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-01","87","100","72"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-02","80","93","65"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-03","77","91","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-04","77","93","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-05","84","97","69"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-06","86","100","72"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-07","89","104","75"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-08","87","100","71"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-09","83","96","67"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-10","81","94","66"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-11","80","93","72"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-12","83","98","69"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-13","87","97","75"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-14","90","106","78"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-15","91","108","76"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-16","92","106","78"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-17","92","106","77"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-18","88","101","76"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-19","84","98","71"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-20","78","78","70"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-21","75","89","68"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-22","77","92","67"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-23","82","98","69"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-24","86","100","72"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-25","82","95","68"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-26","82","96","67"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-27","82","97","66"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-28","83","99","68"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-29","85","99","69"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-30","81","98","67"
